Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Revenue,Cost,Profit
1,2023-10-08,1154,Mouse,Accessories,East,3,578.87,1736.61,881.05,855.56
2,2023-11-10,1034,Monitor,Electronics,North,5,1202.3,6011.5,3846.37,2165.13
3,2023-11-27,1118,Tablet,Electronics,North,1,1325.29,1325.29,827.9,497.39
4,2023-06-16,1080,Phone,Electronics,South,2,583.26,1166.52,808.85,357.67
5,2023-10-04,1110,Laptop,Electronics,East,5,1029.39,5146.95,2839.39,2307.56
6,2023-08-19,1129,Laptop,Electronics,East,5,424.0,2120.0,1329.89,790.11
7,2023-03-08,1033,Keyboard,Accessories,South,1,422.95,422.95,332.06,90.89
8,2023-03-06,1021,Mouse,Accessories,South,2,1197.45,2394.9,1702.52,692.38
9,2023-09-17,1174,Mouse,Accessories,West,1,142.12,142.12,106.34,35.78
10,2023-12-26,1096,Keyboard,Accessories,East,5,926.68,4633.4,3292.89,1340.51
11,2023-03-24,1050,Tablet,Electronics,East,5,1255.74,6278.7,3837.16,2441.54
12,2023-09-20,1162,Laptop,Electronics,East,4,480.8,1923.2,1055.68,867.52
13,2023-01-26,1116,Keyboard,Accessories,West,3,175.89,527.67,409.88,117.79
14,2023-11-06,1172,Phone,Electronics,East,1,351.72,351.72,210.52,141.2
15,2023-06-18,1051,Monitor,Electronics,South,2,229.02,458.04,240.71,217.33
16,2023-05-11,1158,Phone,Electronics,South,5,573.85,2869.25,1944.38,924.87
17,2023-06-13,1189,Mouse,Accessories,East,4,951.93,3807.72,2225.93,1581.79
18,2023-02-10,1127,Tablet,Electronics,South,3,386.97,1160.91,717.28,443.63
19,2023-10-12,1097,Phone,Electronics,West,1,837.94,837.94,538.32,299.62
20,2023-12-29,1036,Tablet,Electronics,West,3,687.97,2063.91,1328.73,735.18
21,2024-01-01,1111,Laptop,Electronics,South,1,1278.86,1278.86,960.85,318.01
22,2023-02-19,1146,Headphones,Accessories,South,5,443.39,2216.95,1557.12,659.83
23,2023-08-06,1098,Keyboard,Accessories,West,5,485.0,2425.0,1688.17,736.83
24,2023-05-07,1078,Mouse,Accessories,South,5,1103.45,5517.25,4156.46,1360.79
25,2023-11-14,1135,Keyboard,Accessories,North,5,267.53,1337.65,924.2,413.45
26,2023-12-21,1009,Keyboard,Accessories,North,1,896.5,896.5,587.09,309.41
27,2023-10-24,1189,Headphones,Accessories,North,1,1268.6,1268.6,924.87,343.73
28,2023-10-12,1063,Tablet,Electronics,South,1,545.77,545.77,340.49,205.28
29,2023-12-06,1100,Phone,Electronics,North,1,819.92,819.92,418.82,401.1
30,2023-12-06,1074,Phone,Electronics,West,2,1303.12,2606.24,1718.43,887.81
31,2023-05-23,1142,Monitor,Electronics,West,5,227.09,1135.45,825.25,310.2
32,2023-03-16,1046,Mouse,Accessories,East,3,1335.13,4005.39,2813.19,1192.2
33,2023-11-02,1031,Keyboard,Accessories,West,1,586.08,586.08,397.49,188.59
